Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),86.53,84.60,88.19,2768.83,84.66,84.83,84.97,85.88,86.45,87.62,87.78,87.83,88.09,1.03
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,38.66,23.00,48.00,1237.00,23.31,25.10,27.20,31.75,39.00,48.00,48.00,48.00,48.00,8.36
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),10.05,6.18,12.46,321.66,6.25,6.69,7.21,8.36,10.17,12.28,12.33,12.35,12.42,2.05
HTTP Data Sent (KB),1.44,1.17,1.90,46.16,1.17,1.19,1.22,1.29,1.43,1.54,1.64,1.75,1.88,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),445.95,270.94,556.12,14270.52,274.80,295.89,319.09,366.17,451.78,547.21,552.29,554.58,555.98,93.88
HTTP Receiving (ms),425.96,249.24,533.59,13630.67,252.94,273.54,297.38,348.25,429.74,529.91,531.80,532.33,533.35,94.20
HTTP Sending (ms),0.16,0.10,0.25,5.02,0.11,0.11,0.11,0.14,0.16,0.18,0.19,0.20,0.23,0.03
HTTP Total Time (ms),445.95,270.94,556.12,14270.52,274.80,295.89,319.09,366.17,451.78,547.21,552.29,554.58,555.98,93.88
HTTP Waiting (TTFB) (ms),19.84,14.34,22.74,634.83,14.45,14.80,15.31,15.93,21.79,22.30,22.63,22.65,22.72,3.23
Input Sequence Length (tokens),248.91,193.00,333.00,7965.00,196.72,208.30,211.10,225.00,256.50,262.00,281.40,298.35,326.18,30.04
Inter Chunk Latency (ms),11.31,8.74,13.89,13390.46,10.73,11.15,11.19,11.26,11.31,11.36,11.42,11.45,12.02,0.25
Inter Token Latency (ms),11.31,11.26,11.35,361.96,11.26,11.27,11.27,11.27,11.32,11.34,11.35,11.35,11.35,0.03
OSL Mismatch Diff % (%),-20.83,-54.17,0.00,-666.67,-53.52,-49.79,-45.42,-35.94,-20.83,0.00,0.00,0.00,0.00,18.22
Output Sequence Length (tokens),38.00,22.00,48.00,1216.00,22.31,24.10,26.20,30.75,38.00,48.00,48.00,48.00,48.00,8.75
Output Token Count (tokens),38.00,22.00,48.00,1216.00,22.31,24.10,26.20,30.75,38.00,48.00,48.00,48.00,48.00,8.75
Output Token Throughput Per User (tokens/sec/user),88.41,88.08,88.83,2829.07,88.09,88.12,88.14,88.21,88.37,88.70,88.74,88.76,88.82,0.24
Prefill Throughput Per User (tokens/sec/user),12821.86,8721.95,18829.41,410299.43,8851.42,9190.73,9530.07,10405.56,11557.20,15362.59,16836.32,17529.67,18458.73,2948.49
Request Latency (ms),438.51,259.48,556.17,14032.33,263.32,284.37,307.64,354.56,440.39,547.27,552.35,554.64,556.03,98.40
Time to First Output Token (ms),20.06,14.54,22.89,641.87,14.65,14.97,15.59,16.15,22.09,22.53,22.79,22.85,22.88,3.22
Time to First Token (ms),20.06,14.54,22.89,641.87,14.65,14.97,15.59,16.15,22.09,22.53,22.79,22.85,22.88,3.22
Time to Second Token (ms),11.09,10.93,11.26,355.00,10.93,10.96,10.99,11.04,11.09,11.14,11.20,11.23,11.26,0.08

Metric,Value
Benchmark Duration (sec),14.30
OSL Mismatch Count,21.00
Output Token Throughput (tokens/sec),85.03
Request Count,32.00
Request Throughput (requests/sec),2.24
Total Input Sequence Length (tokens),7965.00
Total Output Sequence Length (tokens),1216.00
Total Output Tokens (tokens),1216.00
Total Token Throughput (tokens/sec),641.96


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
